Año,Asignatura,Porcentaje_Aprobados
2014,Herramientas de Desarrollo IV,0.6872
2014,Analisis y Diseño de Sistemas,0.9828
2014,Diseño de Páginas Web,0.7621
2014,Base de Datos II,0.6035
2014,Diseño y Gestion de Base de Datos,0.9828
2014,Contabilidad I,0.5541
2014,Herramientas de Desarrollo I,0.5161
2014,Matemática II,0.5728
2014,Desarrollo de Software,0.5779
2014,Redes y Teleprocesos,0.9828
2014,Herramientas de Desarrollo II,0.6347
2014,Herramientas de Desarrollo III,0.6062
2014,Matemática I,0.482
2014,Comercio Electronico,0.6281
2014,Base de Datos I,0.637
2014,Formulacion y Evaluacion de Proyectos,0.8442
2014,Algorítmica I,0.4896
2014,Herramientas de Desarrollo de Software,0.9828
2014,Análisis y Diseño de Sist. de Inf. II,0.6652
2014,Algorítmica II,0.5604
2014,Diseño Gráfico,0.6997
2014,Administración de Centros de Computo,0.9347
2014,Software Contable,0.7399
2014,Redes y Conectividad,0.6438
2014,Arquitectura del Computador,0.5085
2015,Redes y Conectividad,0.6595
2015,Herramientas de Desarrollo III,0.5603
2015,Software Contable,0.6906
2015,Matemática III,0.6897
2015,Base de Datos II,0.4671
2015,Herramientas de Desarrollo de Software,0.6897
2015,Administración de Centros de Computo,0.8344
2015,Análisis y Diseño de Sist. de Inf. II,0.6647
2015,Herramientas de Desarrollo I,0.5246
2015,Sistemas Distribuidos,0.7962
2015,Redes y Teleprocesos,0.3218
2015,Administración y Liderazgo,0.6946
2015,Diseño Gráfico,0.671
2015,Algorítmica I,0.556
2015,Diseño de Páginas Web,0.6886
2015,Analisis y Diseño de Sistemas,0.6897
2015,Formulacion y Evaluacion de Proyectos,0.8599
2015,Análisis y Diseño de Sist. de Inf. I,0.6509
2015,Arquitectura del Computador,0.5697
2015,Herramientas de Desarrollo IV,0.6108
2015,Ofimatica,0.6248
2015,Matemática I,0.5422
2015,Base de Datos I,0.6293
2015,Diseño y Gestion de Base de Datos,1
2015,Desarrollo de Software,0.5605
2015,Contabilidad I,0.6228
2015,Comercio Electronico,0.5287
2015,Matemática II,0.5081
2015,Herramientas de Desarrollo II,0.5635
2015,Algorítmica II,0.5961
2015,Contabilidad II,0.6482
2016,Matemática III,0.6113
2016,Sistemas Distribuidos,0.6142
2016,Redes y Teleprocesos,1
2016,Análisis y Diseño de Sist. de Inf. II,0.6028
2016,Herramientas de Desarrollo de Software,1
2016,Base de Datos II,0.4813
2016,Administración de Centros de Computo,0.8189
2016,Arquitectura del Computador,0.4967
2016,Herramientas de Desarrollo I,0.4749
2016,Administración y Liderazgo,0.6495
2016,Software Contable,0.6707
2016,Diseño de Páginas Web,0.5467
2016,Contabilidad II,0.6347
2016,Diseño y Gestion de Base de Datos,1
2016,Algorítmica I,0.4732
2016,Redes y Conectividad,0.6316
2016,Formulacion y Evaluacion de Proyectos,0.811
2016,Diseño Gráfico,0.7335
2016,Herramientas de Desarrollo III,0.4615
2016,Analisis y Diseño de Sistemas,1
2016,Análisis y Diseño de Sist. de Inf. I,0.6478
2016,Herramientas de Desarrollo IV,0.5514
2016,Desarrollo de Software,0.6929
2016,Ofimatica,0.5585
2016,Herramientas de Desarrollo II,0.5749
2016,Algorítmica II,0.518
2016,Base de Datos I,0.5223
2016,Comercio Electronico,0.622
2016,Matemática I,0.4197
2016,Contabilidad I,0.51
2016,Matemática II,0.5269
2017,Administración y Liderazgo,0.7427
2017,Ofimatica,0.4799
2017,Herramientas de Desarrollo III,0.6008
2017,Base de Datos I,0.6461
2017,Matemática II,0.5161
2017,Algorítmica II,0.5044
2017,Desarrollo de Software,0.8137
2017,Herramientas de Desarrollo I,0.3975
2017,Herramientas de Desarrollo de Software,1
2017,Herramientas de Desarrollo IV,0.6359
2017,Comercio Electronico,0.8137
2017,Análisis y Diseño de Sist. de Inf. II,0.6845
2017,Matemática I,0.3485
2017,Analisis y Diseño de Sistemas,1
2017,Redes y Conectividad,0.6626
2017,Diseño Gráfico,0.6393
